Sr No.,NAMC_ID,NAMC_CODE,Long_definition,Name English
16,15,SR14 (AAA-4),"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",Depletion of vata pattern (TM2)
17,16,AAB,-,diseases due only to vitiated v?ta
18,17,SQ00 (AAB-1),"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",Delirium disorder (TM2)
19,18,SQ05(AAB-2),"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.","Lack of concentration, confusion disorder (TM2)"
20,19,AAB-3 (SP9Y),-,Generalized body ache disorder (TM2) ?
21,20,AAB-4 (SP9Y),-,Wasting of body part(s) disorder (TM2) ?
22,21,SP21 (AAB-5),"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",Atony disorder (TM2)
23,22,AAB-6,-,facial paralysis (due only to v?tad??a)
24,23,SM1P (AAB-7),"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",Ageusia disorder (TM2)
25,23,SM1P (AAB-7),"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",Ageusia disorder (TM2)
26,24,AAB-8,-,tinnitus (due only to v?tad??a)
27,25,AAB-9,-,insomnia (due only to v?tad??a)
28,26,AAB-10,-,tearing pain of eye (due only to v?tad??a)
29,27,AAB-11,-,ptosis of eye ball (due only to v?tad??a)
30,28,AAB-12,-,piercing type of eye pain (due only to v?tad??a)
31,29,AAB-13,-,borborygmus (due only to v?tad??a)
32,30,AAB-14,-,clonic convulsion (due only to v?tad??a)
33,31,SK84 (AAB-15),"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",Dysacousia disorder (TM2)
34,31,SK84 (AAB-15),"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",Dysacousia disorder (TM2)
35,32,AAB-16,-,feeling of abdomen as if enveloped by a cloth (due only to v?tad??a)
36,33,AAB-17,-,obstipation (due only to v?tad??a)
37,34,AAB-18,-,stiff thigh (due only to v?tad??a)
38,35,AAB-19,-,thigh fatigue (due only to v?tad??a)
39,36,AAB-20,-,monoplegia (due only to v?tad??a)
40,37,AAB-21,-,cleft lip (due only to v?tad??a)
41,38,SL02 (AAB-22),"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",Hoarseness of voice disorder (TM2)
42,38,SL02 (AAB-22),"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",Hoarseness of voice disorder (TM2)
43,39,AAB-23,-,earache/otalgia (due only to v?tad??a)
44,40,AAB-24,-,tremor (due only to v?tad??a)
45,41,AAB-25 (SM1Y),-,Feeling of astringent taste disorder (TM2) ?
46,42,SP97 (AAB-26),"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas.",Severe fatigue disorder (TM2)
47,43,SN41 (AAB-27),It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.,Discoloration of body disorder (TM2)
48,44,AAB-28,-,kyphosis/captocormia (due only to v?tad??a)
49,45,SP61 (AAB-29),"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of v?ta.",Emaciation disorder (TM2)
50,46,SN4C (AAB-30),It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.,Scaling of scalp and forehead skin disorder (TM2)
51,47,AAB-31,-,lameness (unilateral) (due only to v?tad??a)
52,48,AAB-32,-,foetal distress/foetal death (due only to v?tad??a)
53,49,SP45 (AAB-33),"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles.",Cervical spondylosis disorder (TM2)
54,50,AAB-34,-,rectal prolapse (due only to v?tad??a)
55,51,SM50 (AAB-35),It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.,Proctalgia disorder (TM2)
56,52,AAB-36 (SP1Y),-,Stiff ankle disorder (TM2) ?
57,53,AAB-37,"the disorder is characterized by kram?t sphik-ka?i-pr???ha-?ru-j?nu-ja?gh?-pad??u stambha? [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandat? muhu? [constant/frequent throbbing/twiching sensation], sakthi-nigr?h?ana [supression/holding down of thighs], j?nusa?dhi-sphura?am [twitching sensation in knee], j?nusa?dhi-stabdhat? [stiffness in knee joint], ka?isa?dhi-sphura?am [twitching sensation in waist], ka?isa?dhi-stabdhat? [stiffness of lowback], ?rusa?dhi-sphura?am [twitching sensation in thigh], ?rusa?dhi-stabdhat? [stiffness in thigh], t?da? [pricking pain], d?ha-pravakrat? [bending/flexion of the body]",sciatia (due only to v?tad??a)
58,54,SK91 (AAB-38),"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages",Anosmia disorder (TM2)
59,55,AAB-39(SP1Y),-,Breaking pain of knees disorder (TM2) ?
60,56,AAB-40 (SP1Y),-,Lax knee disorder (TM2) ?
61,57,SP95 (AAB-41),It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.,Excessive yawning disorder (TM2)
62,58,AAB-42(SP98),-,Fainting disorder due to Vata (TM2) ?
63,60,AAB-43,-,partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to v?tad??a)
64,61,AAB-44 (SN9Y),-,Hypoesthesia disorder (TM2) ?
65,62,AAB-45 (SP9Y),-,Pricking pain disorder (TM2) ?
66,63,AAB-46(SK30),-,Whole body stiffness with immobility disorder (TM2) ?
67,64,AAB-47,-,odontalgia/tooth fracture (due only to v?tad??a)
68,65,AAB-48 (SM1Y),-,Loose tooth disorder (TM2) ?
69,66,SN60(AAB-49),"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",Brittle nails disorder (TM2)
70,67,AAB-50(SN7Y),-,Short hair disorder (TM2) ?
71,68,AAB-51,-,vitiation of v?ta without association of ?ma (undigested material)
72,69,AAB-52,-,hemiplegia/hemiparesis (due only to v?tad??a)
73,70,AAB-53(SK21),-,lameness (bilateral) / lower limb paralysis (TM2)
74,71,AAB-54(SK5Y),-,Foot drop disorder (TM2) ?
75,72,AAB-55(SP4Y),-,Leg pain disorder (TM2) ?
76,73,AAB-56(SP45),-,Numbness of foot disorder (TM2) ?
77,74,SN4R(AAB-57),It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.,Roughness of skin disorder (TM2)
78,75,AAB-58,-,flank pain (due only to v?tad??a)
79,76,AAB-59(SP9Y),-,Calf muscle cramp disorder (TM2) ?
80,77,AAB-60,-,hard stool (due only to v?tad??a)
81,78,SP42(AAB-61),"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue.",Lumbar spondylosis disorder (TM2)
82,79,AAB-62,-,delirium (due only to v?tad??a)
83,80,AAB-63,-,deafness (due only to v?tad??a)
84,81,AAB-64(SP4Y),-,Atrophy of arm disorder (TM2) ?
85,82,AAB-65(SP9Y),-,Weakness disorder (TM2) ?
86,83,AAB-66(SP9Y),-,Splitting pain disorder (TM2) ?
87,84,AAB-67,-,cowardness (due only to v?tad??a)
88,85,AAB-68(SM7Y),-,Retention of stool disorder (TM2) ?
89,86,AAB-69,-,dumbness/aphasia (due only to v?tad??a)
90,87,AAB-70,-,unconsciousness (due only to v?tad??a)
91,88,AAB-71,-,giddiness (due only to v?tad??a)
92,89,AAB-72(SK5Y),-,Twitching eyebrow disorder (TM2) ?
93,90,AAB-73,-,stiff neck/torticollis/wry neck (due only to v?tad??a)
94,91,SM1N(AAB-74),"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue.",Xerostomia disorder (TM2)
95,92,SM81(AAB-75),"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to v?tadosha.",Retention of urine disorder (TM2)
96,93,AAB-76,-,amenorrhoea (due only to v?tad??a)
97,94,SN42(AAB-77),"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin",Dryness of skin disorder (TM2)
98,95,AAB-78(SP9Y),-,Horripilation disorder (TM2) ?
99,96,AAB-79(SK0Y),-,Other specified headache disorders (TM2)
100,97,AAB-80(SP1Y),-,Sacroiliac joint stiffness disorder (TM2) ?
101,98,AAB-81,-,ptosis/stiff eyelid (due only to v?tad??a)
102,99,AAB-82(SK7Y),-,Entropion disorder (TM2) ?
103,100,AAB-83(SP9Y),-,Impaired thoracic mobility disorder (TM2) ?
104,101,AAB-84(SP9Y),-,Chest pain disorder (TM2) ?
105,102,SK53(AAB-85),"It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech.",Stammering disorder (TM2)
106,103,AAB-86(SP9Y),-,Talkativeness disorder (TM2) ?
107,104,AAB-87(SP1Y),-,Ankle deformity disorder (TM2) ?
108,105,AAB-88(SP9Y),-,Dwarfism disorder (TM2) ?
109,106,AAB-89(SM37),-,Diarrhoea disorder due only to V?ta (TM2) ?
110,107,AAB-90,-,cracks in palms and soles (due only to v?tad??a)
111,108,AAB-91(SQ04),-,Transient depression disorder (TM2) ?
112,109,AAB-92(SN3Y),-,Scrotal pain disorder (TM2) ?
113,110,AAB-93(SP4Y),-,Distention of inguinal region disorder (TM2) ?
114,111,AAB-94(SP9Y),-,Agonising pain disorder (TM2) ?
115,112,AAB-95(SL7Y),-,Vasodilatation disorder (TM2) ?
116,113,AAB-96,-,headache/cephalgia/cephalalgia (due only to v?tad??a)
117,114,SN03(AAB-97),"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system.",Oligospermia disorder (TM2)
118,115,AAB-98,-,temporal cephalalgia (due only to v?tad??a)
119,116,SN07(AAB-99),It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.,Priapism disorder (TM2)
120,117,AAB-100(SP9Y),-,Chills disorder only due to Kapha (TM2) ?
121,119,AAB-101,-,dusky-red oral pigmentation (due only to v?tad??a)
122,120,AAB-102,-,pelvic pain (due only to v?tad??a)
123,121,AAB-103(SP9Y),-,Contracture disorder (TM2) ?
124,122,AAB-104,-,anhidrosis/hypohidrosis (due only to v?tad??a)
125,123,AAB-105(SP9Y),-,Physical exhaustion disorder (TM2) ?
126,124,AAB-106,-,total body paralysis/quadriplegia (due only to v?tad??a)
127,125,AAB-107(SK52),-,Stiffness disorder (TM2) ?
128,126,AAB-108(SP4Y),-,Jaw pain disorder (TM2) ?
129,127,AAB-109,-,hiccup/singultus (due only to v?tad??a)
130,128,SL62(AAB-110),It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region.,Palpitation disorder (TM2)
131,129,SL60(AAB-111),It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect.,Slow heart disorder (TM2)
132,130,AAC,-,diseases due to v?ta
133,131,AAC-1(SK30),-,Emprosthotonus disorder (TM2) ?
134,132,AAC-2(SK30),-,Convulsive fit disorder (TM2) ?
135,133,AAC-2.1,"the disorder is characterized by garbhap?tasamutpanna? [caused by miscarriage], ???it?tisrav?tthita? [caused by excessive bleeding/heamorrhage], abhigh?tasamuttha? [caused by trauma]",intractable convulsive fit
136,134,AAC-3(SK30),-,Orthotonus disorder (TM2) ?
137,135,SK20(AAC-4),"It is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face.",Facial palsy disorder (TM2)
138,136,AAC-4.1,"the disorder is characterized by r?mahar?a? [horripilation], v?pathu? [shivering/tremors], ?vilan?tra? [turbid/muddy eyes], tvaci sv?pa? [numbness in skin], t?da? [pricking pain], many?graha? [neck stiffness], hanugraha? [lock jaw/catching sensation over jaw], ?rdhvav?yu? [upward movement of v?yu]",prodromes of facial paralysis
139,137,AAC-4.2,"the disorder is characterized by avyaktabh??a?am [incoherent speech], prasaktabh??a?am [stammering speech/unable to speak, aphasia], k???a? [debilitatated person], kampa?/v?panam [tremors], animi??k?asya [unable to close eye]",irremediable facial palsy
140,138,AAC-5(SP0Y),-,Ostealgia disorder (TM2) ?
141,139,SP00(AAC-6),"It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha.",Osteoporosis disorder (TM2)
142,140,SN08(AAC-7),"It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system.",Prostatic enlargement disorder (TM2)
143,141,SP15(AAC-8),"""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region.",Frozen shoulder disorder (TM2)
144,142,SK55(AAC-9),"It is characterised by flaccidity,log like immobility of the thighs. This may be explained by: (a) Obstruction of vata by the ama (state of incomplete digestion, transformation or metabolism).",Weakness of thighs due to vata disorder (TM2)
145,143,AAC-9.1,"the disorder is characterized by dhy?na? [insensibility/meditatitve appearance], nidr? [sleep], atistaimityam/stimitat? [excessive rigidity], ar?caka? [tastelessness], jvara? [fever], l?mahar?a? [horripilation], chardi? [vomiting], ja?gh?sadanam [asthenia/fatigue of calf muscles], ?rusadanam [fatigue /weakness in thighs]",prodromes of stiff-thigh
146,144,AAC-9.2(SK55),-,Intractable stiff-thigh disorder (TM2) ?
147,145,AAC-10(SP2Y ),-,Shoulder muscle atrophy disorder (TM2) ?
148,145,AAC-10(SP2Y ),-,Shoulder muscle atrophy disorder (TM2) ?
149,146,SK30(AAC-11),"It is characterised by sudden, involuntary contractions of muscles, associated with dribbling of saliva, froth in the mouth and deviation of mouth, staring of eyes or rolling of eyeball. This may be explained by: (a) vitiated vatadosha affecting motor faculties.",Seizure disorder (TM2)
150,147,SM31(AAC-12),"It is characterised by distension of abdomen, flatulance, gurlging sounds, heaviness may be associated with pain, dyspepsia, constipation and dysuria. This may be explained by: (a) Aggravation of Descending vata affecting the excretory functions.",Abdominal distension disorder (TM2)
151,148,AAC-12.1(SM31),-,Tympanites disorder (TM2) ?
152,149,AAC-13(SK30),-,Opisthotonos disorder (TM2) ?
153,150,AAC-13.1(SK30),-,Irremediable opisthotonos disorder (TM2) ?
154,151,SM75(AAC-14),"It is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. This may be explained by: (a) Reversal of Kindling vata, Descending vata functions.",Dynamic intestinal obstruction disorder (TM2)
155,152,AAC-15(SK22),-,Monoplegia disorder (TM2) ?
156,153,AAC-16(SK5Y),-,Lathyrism disorder (TM2) ?
157,154,AAC-17(SP10),-,Swollen knee deformity disorder (TM2) ?
158,155,AAC-18(SK2Y),-,Lameness (unilateral) disorder (TM2) ?
159,156,SP20(AAC-19),"It is characterised by severe spamodic, cramp like pain in upper or lower limb muscles. It may be shifting in nature. This may be explained by: (a) Severe vitiation of vatadosha.","Muscle pain, twisting disorder (TM2)"
160,157,SP41(AAC-20),"It is characterised by moderate to severe pain, starting from acetabulum of hip bone, mainly travelling laterally to ankle joint and rarely radiating from the medial side of thigh. This may be explained by: (a) Vitiation of vata affecting nerves, tendons, muscles of leg; may be associated with vitiated kapha (resulting in mild pain).",Sciatica disorder (TM2)
161,158,AAC-20.1,"the disorder is characterized by kram?t sphik-ka?i-pr???ha-?ru-j?nu-ja?gh?-pad??u stambha? [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandat? muhu? [constant/frequent throbbing/twiching sensation], sakthi-nigr?h?ana [supression/holding down of thighs], j?nusa?dhi-sphura?am [twitching sensation in knee], j?nusa?dhi-stabdhat? [stiffness in knee joint], ka?isa?dhi-sphura?am [twitching sensation in waist], ka?isa?dhi-stabdhat? [stiffness of lowback], ?rusa?dhi-sphura?am [twitching sensation in thigh], ?rusa?dhi-stabdhat? [stiffness in thigh], t?da? [pricking pain], d?ha-pravakrat? [bending/flexion of the body]",gRudhrasI due to v??a
162,159,AAC-20.2,"the disorder is characterized by kram?t sphik-ka?i-pr???ha-?ru-j?nu-ja?gh?-pad??u stambha? [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandat? muhu? [constant/frequent throbbing/twiching sensation], sakthi-nigr?h?ana [supression/holding down of thighs], tandr? [drowsiness/lassitude], gauravam [heaviness], ar?caka?/bhaktadv??a? [tastelessness/aversion to food], vahnim?rdavam [diminution of agni /hypofunction of digestive mechanism], mukhapras?ka? [salivation]",gRudhrasI due to v?ta and kapha
163,160,AAC-21(SK22),-,Tongue paralysis disorder (TM2) ?
164,161,SM83(AAC-22),"It is characterised by spasmodic pain in loin radiating to pubic region and thigh. It may be associated with haematuria, chills and fever. This may be explained by: (a) Obstruction of urinary passage (due to renal calculi) aggravates vata leading to spasmodic pain.",Renal colic disorder (TM2)
165,162,AAC-239(SK30),-,Orthotonus with rod like stiffness disorder (TM2) ?
166,163,SK22(AAC-24),"It is characterised by loss of mobility or flaccidity of one side of the body. May be associated with difficulty in swallowing, speech, deranged cognitive functions, tactile sensation. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor, sensory and cognitive functions.",Hemiplegia disorder (TM2)
167,164,AAC-24.1,"the disorder is characterized by ?aitya [cold on touch on affected side of body], ??tha [oedema], gurutva [heaviness]",pak??gh?ta due to kapha
168,165,AAC-24.2,"the disorder is characterized by d?ha? [burning sensation], sant?pa? [burning sensation], m?rcch? [syncope/attacks of swooning]",pak??gh?ta due to pitta
169,166,AAC-24.3,-,hemiplegia in children
170,167,AAC-25(SP9Y),-,Burning feet disorder (TM2) ?
171,168,AAC-26(SP9Y),-,Tingling feet disorder (TM2) ?
172,169,AAC-27(SM83),-,Colicky pain radiating towards bladder and upwards to abdomen disorder (TM2) ?
173,170,AAC-28,"the disorder is characterized by ruja?/atyugraruj? [pain/excessive pain], a??h?l?vat ghana? granthi [stony hard round shaped gland], v?ta-r?dhanam/v?tanir?dha? [obstruction to flatus], vi?-r?dhanam [obstruction to feces], m?tra-r?dhanam [obstruction in passage of urine], ???pa? [gurgling sound of the intestines/barborygmus], udar?dhm?nam [distention of abdomen]",prostatic hyperplasia
174,171,AAC-29,-,post-traumatic convulsion
175,172,SK21(AAC-30),"It is characterised by flaccidity, loss of function in both lower limbs. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor functions.",Paraplegia disorder (TM2)
176,173,SL21(AAC-31),"It is characterised by hypernasal voice leading to nasal twang. This may be explained by: (a) Obstruction to oral, nasal passages, vitiation of vata.",Hypernasal speech disorder (TM2)
177,174,AAC-32,the disorder is characterized by many?stambha? [torticollis/stiffness of neck],stiff neck/torticollis/wry neck
178,175,SL07(AAC-33),It is characterised by inability to speak. This may be explained by: (a) Vatadosha and kaphadosha affecting speech faculties.,Speech disorder (TM2)
179,176,SP40(AAC-34),It is characterised by pain in heel especially during walking. This may be explained by: (a) Increased vatadosha affecting the heel.,Achillodynia disorder (TM2)
180,177,SK51(AAC-35),"It is characterised by pain in the neck, throat radiating up to the upper limbs, restricted movements. May be associated with, insomnia, temporary loss of hearing, memory. This may be explained by: (a) vitiation of vatadosha, pittadosha affecting neck, upper arms.",Cervicobrachial pain disorder (TM2)
181,178,SK52(AAC-36),"It is characterised by tremors, rigidity, and may be associated with dryness of the skin and insomnia. This may be explained by: (a) aggravation of vata affecting the motor system.",Tremor disorder (TM2)
182,179,AAC-37,-,head and neck rigidity
183,180,AAC-38(SK22),-,Total body paralysis disorder (TM2) ?/Quadriplegia (TM2)
184,181,AAC-39(SL7Y),-,Vasoconstriction disorder (TM2) ?
185,182,AAC-40(SK5Y),-,Lock-jaw disorder (TM2) ?
186,183,SR20(AAD),"It is characterised by hampering of the normal functioning of the dosha leading to local or systemic symptoms. This may be explained the occlusion of the free flowing and all-pervading Vata dosha or subtype of it by one another or by Pitta, Kapha, tissues, food and excreta.",Pattern of occlusion (TM2)
187,184,AAD-1,-,mutual occlusion of v?ta
188,185,AAD-1.1,"the disorder is characterized by sarv?ndriy???? ??nyatva [loss of ability of sense organs], smr?tik?aya? [loss of memory], balak?aya? [loss of physical strength or weakness]",disorders of vy?nav?ta occluded by pr???v?ta
189,186,AAD-1.2,"the disorder is characterized by sv?d??tyartham [excessive sweating], l?mahar?a? [horripilation], tvagd??a? [skin diseases], suptag?trat? [numbness in the body parts]",disorders of pr??av?ta occluded by vy?n?v?ta
190,187,AAD-1.3,"the disorder is characterized by ja?atvam [dullness/frigidity/inactiveness], gadgadatvam [stuttering/stammmering], m?katvam [dumbness/aphasia]",disorders of sam?nav?ta occluded by pr???v?ta
191,188,AAD-1.4,"the disorder is characterized by graha?? [derangement of agni situated in graha??], p?r?vagada? [pain/disease in flanks], hr?dgada? [diseases of heart], ?m??aya??lam [colicky pain in epigastric region]",disorders of ap??av?ta occluded by sam?n?v?ta
192,189,AAD-1.5,"the disorder is characterized by ?ir?graha? [stiffness of head], prati?y?ya? [cold, catarrh], ni??v?s?cchv?sasa?graha?/ni??v?s?cchv?sasa?r?dha? [obstruction/restriction to respiration], hr?dr?ga? [diseases of heart], mukha???a? [dryness in mouth]",disorders of ud?nav?ta occluded by pr???v?ta
193,190,AAD-1.6,"the disorder is characterized by karman??a? [loss of activities], ?j?n??a? [loss of vitality/bodily strength, energy, power], balan??a? [loss of strength], var?an??a? [loss of lustre/complexion], mr?tyu? [death]",disorders of pr??av?ta occluded by ud?n?v?ta
194,191,AAD-1.7,"the disorder is characterized by chardi? [vomiting], ?v?sa? [breathlessness/difficult breathing]",disorders of ap??av?ta occluded by ud?n? v?ta
195,192,AAD-1.8,"the disorder is characterized by m?ha? [semiconsciousness or stupefaction], alp?gni? [insufficient digestive power/capacity], at?s?ra? [diarrhoea]",disorders of ud?nav?ta occluded by ap??av?ta
196,193,AAD-1.9,"the disorder is characterized by vami? [vomiting], ?dhm?nam [abdominal distension], ud?varta? [upword movement of vayu due to retention of stool and urine], gulma? [palpable glandular enlargment in abdomen/abdominal lump], arti? [pain], parikartik? [sharp cutting pain in anus]",disorders of ap??av?ta occluded by vyAnA v?ta
197,194,AAD-1.10,"the disorder is characterized by vi?-atipravr?tti? [excessive defecation], m?tra-atipravr?tti? [excessive micturition], r?tas-atipravr?tti? [excessive semen/ejaculation]",disorders of vy?nav?ta occluded by ap??av?ta
198,195,AAD-1.11,"the disorder is characterized by m?rcch? [syncope/attacks of swooning], tandr? [drowsiness/lassitude], pral?pa? [excess talking/irrelevant speech/incoherent speech], a?gas?da? [exhaustion or tirednes to body /inability to perform physical activities], agnik?aya? [diminution of agni (digestive power)], ?ja?k?aya? [diminution of vitality/body energy/power], balak?aya? [loss of physical strength or weakness]",disorders of ap??av?ta occluded by samAnA v?ta
199,196,AAD-1.12,"the disorder is characterized by stabdhat? [stiffness], alp?gnit? [insufficient digestive power/capacity], asv?da? [anhidrosis/lack of sweating], c????h?ni? [loss of activities/motor function], nim?lanam [having the eyes closed]",disorders of vy?nav?ta occluded by udAna v?ta
200,197,AAD-1.13,-,disorders of sam?nav?ta occluded by ap??av?ta
201,198,AAD-1.14,-,disorders of pr???v?ta occluded by ap??av?ta
202,199,AAD-1.15,-,disorders of ap??av?ta occluded by pr??av?ta
203,200,AAD-1.16,-,disorders of pr??av?ta occluded by sam?nav?ta
204,201,AAD-1.17,-,disorders of ud?nav?ta occluded by sam?nav?ta
205,202,AAD-1.18,-,disorders of sam?nav?ta occluded by udAna v?ta
206,203,AAD-1.19,-,disorders of ud?nav?ta occluded by vy?nav?ta
207,204,AAD-1.20,-,disorders of sam?nav?ta occluded by vy?na v?ta
208,205,AAD-2,-,occlusion of v?ta by d??a
