Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Name English,Long_definition,Reference
65,65,BBB1.2,Akkuḷ Kaṭṭi,அக்குள் கட்டி,Abcess in the axilla,"It is characterized by axillary or inguinal lymphadenitis with fever and convalesence. It may be explained by increased prasaga Aẕal. The seven udal thathukkal Saram, Senner, Ūṉ gets increased.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.74"
66,66,BC,Kāl Āṇi,கால் ஆணி,Rougness of skin over the feet,,
67,67,BCA,Vaḷi,வளி,Rougness of skin classified under vali,,
68,68,BCA1.1,Kāl Āṇi,கால் ஆணி,Rougness of skin over the feet,"It is characterized by cornification in the sole or palm due to constant pressure or friction with hard objects. It is explained by the increased vyanan (dryness, thickening, hardness and pain) followed by decreased prasagam (diminished complexion of the","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.296"
69,69,BD,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Psoriasis,,
70,70,BDB,Aẕal,அழல்,Psoriasis classified under azhal,,
71,71,BDB1.1,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Psoriasis,"It is characterized by erythematous elevated itchy patches with silvery scales in the scalp, palm and sole, heamorrhagic purpura, cracks in the sole and palm. In chronic stages it affects the nail (psoriatic nail) and joints (psoriatic arthropathy - kalan","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.317"
72,72,BE,Kāṇākkaṭi,காணாக்கடி,Utricaria,,
73,73,BEB,Aẕal,அழல்,Utricaria classified under azhal,,
74,74,BEB1.1,Kāṇākkaṭi,காணாக்கடி,Utricaria,"It is characterized by erythematous rashes , soft elevated patches in the skin, itching, pain or tenderness due to unidentified cause. It may be explained by the increased vyanan and prasagam (red patches and itching). Among the Uṭaṟtātukkaḷ Increased C","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.303"
75,75,BF,Karappāṉ,கரப்பான்,Eczema,,
76,76,BFA,Vaḷi,வளி,Eczema classified under vali,,
77,77,BFA1.1,Kapāla Karuṅkarappaṉ,கபால கருங்கரப்பன்,Hyperpigmentation of skin in the scalp,"It is characterized by a hyperpigmeted itchy skin lesions in the scalp, macules and oozing papules. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ saram and senner gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.132"
78,78,BFA1.2,Kaṇṭak Karappāṉ,கண்ட கரப்பான்,Eczema occuring in head and ears,"It is characterised by burning sensation, thickening of the skin in the scalp and ears, rigor, chillness of the body with goose skin, tingling sensation, dazzling of the eyes and thorny sensation over the skin. It may be explained by the increased activit","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 452"
79,79,BFA1.3,Timirvātak Karappāṉ,திமிர்வாதக் கரப்பான்,Eczema with joint pain,"It is characterised by pain while sitting and standing, deformity in the joints of the hand, leg and back, odema all over the body, weeping and ulcer formation, polyuria, increased body temperature, vague pain, rigor, malaise, emaciation of the body and","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 451"
80,80,BFA1.4,Vali Kapālak Karappāṉ,வளி கபாலக் கரப்பான்,Eczema occurred in scalp due to increased vali,"It is characterized by hyperpigmented papules in the scalp with watery or oily discharge, itching, swelling of the face, chillness of the body, pain in the occipital region. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ ssaram and Cen","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.130"
81,81,BFA1.5,Vaṟaṭcikkarappāṉ,வறட்சிக் கரப்பான்,Eczema with dry skin,"It is characterised by odema all over the body, tingling sensation, itching, fatigue, drowsiness, dryness of the skin, weight loss, incoherent speech, purulent discharge in the oedematous areas and mal odour. It may be explained by derangement of viyanan.","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 452"
82,82,BFA1.6,Vātak Karappāṉ,வாதக் கரப்பான்,Eczema caused by increased vali,"It is characterised by general malaise, odema, crusted lesions, deformity of the joints, engorged and tortuous veins, dryness of the skin. It is explained by derangement of viyanan. Among the seven Uṭaṟtātukkaḷ Cāram (malaise), senner, Eṉpu (deformity o","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 451"
83,83,BFB,Azhal,அழல்,Eczema classified under azhal,,
84,84,BFB1.1,Akki Kātu Karappāṉ,அக்கி காது கரப்பான்,Ezema occuring in the ears with boils,"It is characterised by herpetic lesion in the ear with boils. It is explained by increase of Aẕal thathu, Among the seven Uṭaṟtātukkaḷ Cennīr thathu gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
85,85,BFB1.2,Aẕal Kapālak Karappāṉ,அழல் கபாலக் கரப்பான்,Ezema occurred in scalp due to increased azhal,"It is characterized by a papules in the scalp with burning sensation, swelling, oozing. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.130"
86,86,BFB1.3,Aẕukaṇṇi Kātu Karappāṉ,அழுகண்ணி காது கரப்பான்,Eczema occuring in ears with infection,"It is characterised by inflammatory lesions in the ear leading to cellulitis. It is explained by increase in Aẕal and iya humour. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
87,87,BFB1.4,Pittak Karappāṉ,பித்தக் கரப்பான்,Eczema caused by increased azhal,"It is characterised by yellowish discoloration of skin, giddiness, tiredness, inflammation, anorexia, tingling sensation. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 454"
88,88,BFB1.5,koḷḷIkkarappāṉn,கொள்ளிக் கரப்பான்,Eczema occuring in the ears with burning sensation,"It is characterised by eczematous lesion associated with blisters, burning sensation in the ears. It is explained by increased Aẕal humour. Among the seven Uṭaṟtātukkaḷ, Cennīr gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
89,89,BFB1.6,Pokki Kātu Karappāṉ,பொக்கி காது கரப்பான்,Eczema occuring in ears with bleeding exudates,"It is characterised by small boils around the ears, bleeding from lesions. It is explained deranged vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cennīr is increased.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
90,90,BFB1.7,Coṟi Kātu Karappāṉ,சொறி காது கரப்பான்,Eczema occuring in ears with severe itching,It is characterised by itchiy papules around the ear. It is explained by derangement of vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
91,91,BFB1.8,Veṭi Kātu Karappāṉ,வெடி காது கரப்பான்,Eczema occuring in ears with fissures,"It is characterised by dryness, cracks and ulcers around the ear. It is explained deranged vali humour. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr are decreased.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
92,92,BFC,Aiyam,ஐயம்,Eczema classified under aiyam,,
93,93,BFC1.1,Aiyak Kapāla Karappāṉ,ஐய கபால கரப்பான்,Eczema occurred in scalp due to increased aiyam,"It is characterized by a papules in the scalp with watery discharge, pricking pain in the eyebrows and forehead, cervical and submandibular lymphadenopathy. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.132"
94,94,BFC1.2,Coṟi Kātu Karappāṉ,சொறி காது கரப்பான்,Eczema occuring in ears with severe itching,It is characterised by itchiy papules around the ear. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
95,95,BFC1.3,Cilēttumakkarappāṉ,சிலேட்டுமக்கரப்பான்,Eczema caused by increase aiyam,"It is characterized by difficulty in speech, headache, oral ulcers, salivation and pain along with clinical features of eczema. It is explained by increase in Aẕal due to consumption of food substances causing allergy which is the root cause of the disea","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 454"
96,96,BG,Kaṭṭi,கட்டி,Abcess,,
97,97,BGB,Aẕal,அழல்,Abcess classified under azhal,,
98,98,BGB1.1,Kaṭṭi,கட்டி,Abcess,"It is characterized by a swelling with pus collection, redness, pain, warmth, and swelling. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected initialy and then Ūṉ, Koẕuppu and sometimes Eṉpu gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.50"
