Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NAMC_TERM,Name English,Long_definition
41,40,A-17,حمق,Ḥumq,Dementia,The weakness of the thinking faculties of brain which in turn leads to distraction of mind. These patients can not make a balanced state or equilibrium in social environment. The patient usually makes himself busy in doing irrelevant chores similar to children.
42,41,A-18,رعونت,Ru‘ūnat,egomania,A type of weakness of the thinking faculties of brain in which the patient becomes egoistic. The patient usually expresses violent behaviour and feels himself superior to others.
43,42,A-19,مالنخوليا,Mālankhūliyā,Melancholia,"This word is a combination of two words. <em>Mālan</em>, meaning black and <em>Khūliyā</em>, meaning <em>Ṣafrā’</em> (yellow bile). According to ancient Unani physicians this is a form of severe depression caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) in the brain. Patients experience false perceptions."
44,43,A-19.1,مالنخوليا دموي,Mālankhūliyā Damawī,Sanguineous melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Dam</em> (burnt sanguine) in the brain. It is characterized by redness of eyes, pulsus magnus and confused state of mind along with feeling of happiness."
45,44,A-19.2,مالنخوليا بلغمي,Mālankhūliyā Balghamī,Phlegmatic melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Balgham</em> (burnt phlegm) in brain. It is characterized by laziness, comparatively cold and clammy skin along with other features of melancholia."
46,45,A-19.3,مالنخوليا صفراوي,Mālankhūliyā Ṣafrāwī,Bilious melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) in brain. It is characterized by insanity, anger, delirium, restlessness and insomnia."
47,46,A-19.4,مالنخوليا سوداوي,Mālankhūliyā Sawdāwī,Melancholic melancholia,"A type of melancholia caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) and <em>Sawdā’</em> (black bile) in the brain. It is characterized by fear, disturbing thoughts, and crying disposition"
48,47,A-19.5,قطرب/ علة الذئب/ جنون ذئبي,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,Lycanthropy,"A type of melancholia caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile). It is a chronic condition as its causative humour is more viscous and acute in nature. In this condition patient likes to live in isolation. During the daytime he stays in graveyards and comes out at night. He becomes irritative, emaciated and pale. Sometimes, he attacks other persons due to irritation. He makes noises resembling with dog and cock. Ulcers of calf muscles are also observed in these patients."
49,48,A-19.6,مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,Psychoneurosis,This type of disorder occurs when burnt humour get accumulated in the peritoneum because of internal heat and leads to the formation of <em>Bukhārāt</em> (gases) of bad quality. These vapours cause the disturbance in the brain.
50,49,A-20,جنون/ وسواس,Junūn/ Waswās,Insanity,A disturbed state of mind in which patient becomes insane. In this condition patient develops false perceptions and hallucinations accompanied with behavioural changes. Patient usually indulges in misbehaviour and does not follow discipline.
51,50,A-21,مانيا/ جنون سبعی,Māniyā/ Junūn Saba‘ī,Psychosis/Mania,A severe form of agitated behaviour.
52,51,A-22,داء الكلب,Dā’ al-Kalb,Cynanthropy,A combined state of agitation and relaxation caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) in the brain.
53,52,A-23,صبارا,Ṣubārā,Maniac phrenitis,An intensely disturbed state of mind accompanied with fever. It is caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) and resembles very much with <em>Sarsām Ṣafrāwī</em> in terms of fever and the condition of urine.
54,53,A-24,عشق,‘Ishq,Erotomania,"A type of hallucination which resembles <em>Mālankhūliyā</em>. In this condition, patient usually visualises the picture or thought of his beloved person in order to feel him/her."
55,54,A-25,سدر و دوار,Sadr-o-Duwār,Vertigo and giddiness,"Sadr is a disease of brain in which the person experiences darkness on standing. This condition usually accompanies with heaviness of head, tinnitus and confusion. <em>Duwār</em> is similar to <em>Sadr</em> but in this condition the patients feel giddiness also."
56,55,A-25.1,سدر و دوار دماغي دموي,Sadr-o-Duwār Dimāghī Damawī,Sanguineous vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Dam</em> (blood /sanguine) in the brain itself. It is characterized by frequent episodes of giddiness, flushing of face, redness of eyes and elevated temperature of head. Initially, it is accompanied with lacrimation."
57,56,A-25.2,سدر و دوار دماغي بلغمي,Sadr-o-Duwār Dimāghī Balghamī,Phlegmatic vertigo and giddiness,"Mostly it occurs due to the accumulation of <em>Balgham</em> (phlegm) in the brain. It is characterized by vertigo and giddiness along with heaviness of head, increased salivation, decreased thirst, altered sensorium, increased sleep and pulsus mollis."
58,57,A-25.3,سدر و دوار دماغي صفراوي,Sadr-o-Duwār Dimāghī Ṣafrāwī,Bilious vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Ṣafrā’</em> (yellow bile) in the brain. It is characterized by vertigo and giddiness along with pale face, bitter taste, pulsus velox and thirst."
59,58,A-25.4,سدر و دوار دماغي سوداوي,Sadr-o-Duwār Dimāghī Sawdāwī,Melancholic vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Sawdā’</em> (black bile) in the brain. It is characterized by excessive thoughts and sleeplessness, pulsus debilis and pulses durus."
60,59,A-25.5,سدر و دوار شركي,Sadr-o-Duwār Shirkī,Secondary vertigo and giddiness,The state of Sadr and <em>Duwār</em> which comes as a complication of some other systemic diseases.
61,60,A-26,لویٰ و فيحذج/ بيجيذق/ اللویٰ,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,excessive lethargy and fatigue,"<em>Lawā</em> is a condition which occurs in persons who lead a sedentary life and take alcohol along with rich diet. In these persons, there is an excessive accumulation of gases in the body which in turn leads to heaviness of heart, increased fatigue and lethargy."
62,61,A-27,كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,Nightmare/Incubus,Its literal meaning is to create pressure. In this condition patient feels pressure on his chest in lying posture while asleep. He feels choked and asphyxiated.
63,62,A-27.1,كابوس دموي,Kābūs Damawī,Sanguineous nightmare,"It is caused by the vapours arising out of thick <em>Dam</em> (sanguine). It is characterized by redness of body, eyes and imagery of red colored objects along with other symptoms of <em>Kābūs</em>."
64,63,A-27.2,كابوس بلغمي,Kābūs Balghamī,Phlegmatic nightmare,"It is caused by the vapours arising out of thick phlegm towards already weakened brain. Apart from all the symptoms of <em>Kābūs</em> it is characterized by lethargy, imagery of white/green colored objects."
65,64,A-27.3,كابوس بارد,Kābūs Bārid,Nightmare due to cold,"This type of <em>Kābūs</em> occurs due to exposure of head to cold during sleep, inspite of the absence of predominance of any humour. It will not be characterized by the general symptoms of <em>Kābūs</em> and predominance of any humour."
66,65,A-28,صرع,Ṣar‘,Epilepsy,Its literal meaning is to fall down. It is an episodic disease in which sensory and motor functions of the organs are stopped. The patient falls down and experiences convulsions and frothing from the mouth.
67,66,A-28.1,صرع دماغي سوداوي,Ṣar‘ Dimāghī Sawdāwī,Melancholic epilepsy,A type of <em>Ṣar‘</em> caused by the obstruction of ventricles of brain by the thick black bile which causes hindrance in the flow of motor faculties and psychic pneuma with in the related nerves.
68,67,A-28.2,صرع دماغي اصلي,Ṣar‘ Dimāghī Aṣlī,Primary epilepsy,A condition where the cause of <em>Ṣar‘</em> (epilepsy) is in the brain itself.
69,68,A-28.3,صرع شركي,Ṣar‘ Shirkī,Secondary epilepsy,A condition when <em>Ṣar‘</em> (epilepsy) occurs as a complication of other diseases of the body.
70,69,A-28.4,صرع لسعي,Ṣar‘ Las‘ī,Sting epilepsy,A type of <em>Ṣar‘</em> (epilepsy) that occurs due to scorpion or insect bite.
71,70,A-28.5,صرع الاطفال,Ṣar‘ al-Aṭfāl,Infantile epilepsy,"Epilepsy that occurs in children. Affected children experience convulsions with frothing from mouth. Most physicians are of the view that <em>Umm al-Ṣibyān</em> and <em>Rīḥ al-Ṣibyān</em> are one and the same as is <em>Ṣar‘ al-Aṭfāl</em>, but some physicians do not support this statement. They think that <em>Umm al-Ṣibyān</em> is a type of <em>Ṣar‘</em> (epilepsy) which is accompanied with high fever."
72,71,A-28.6,صرع بدني,Ṣar‘ Badanī,epilepsy due to vapours,Epilepsy of this type occurs when <em>Radī Bukhārāt</em> (putrefied gases) from the body get accumulated in the brain.
73,72,A-28.7,صرع اطرافي,Ṣar‘ Aṭrāfī,epilepsy due to the involvement of extremities,Epilepsy of this type occurs when <em>Radī Bukhārāt</em> (putrefied gases) from hand and legs get collected in the brain.
74,73,A-28.8,صرع رحمي,Ṣar‘ Raḥimī,epilepsy due to the involvement of uterus,<em>Ṣar‘</em> (epilepsy) due to the involvement of uterus.
75,74,A-28.9,صرع خببي,Ṣar‘ Khababī,Procursive epilepsy,In this type of <em>Ṣar‘</em> (epilepsy) patient runs fast before the episode of convulsion.
76,75,A-28.10,صرع خفيف,Ṣar‘ Khafīf,Petit mal,"In this type of <em>Ṣar‘</em> (epilepsy) intensity of convulsions is mild. This is usually accompanied with tinnitus, congestion and tension but there is no heaviness of head."
77,76,A-28.11,صرع شديد,Ṣar‘ Shadīd,Grand mal,In this type of <em>Ṣar‘</em> (epilepsy) intensity of convulsions is severe.
78,77,A-28.12,صرع ضربي,Ṣar‘ Ḍarbī,Traumatic epilepsy,A type of <em>Ṣar‘</em> (epilepsy) that occurs after injury of the head.
79,78,A-28.13,صرع قلبي,Ṣar‘ Qalbī,epilepsy due to the involvement of heart,A type of <em>Ṣar‘</em> (epilepsy) associated with some cardiac diseases.
80,79,A-28.14,صرع لیلی,Ṣar‘ Laylī,Nocturnal epilepsy,A type of <em>Ṣar‘</em> (epilepsy) in which episodic convulsions occur at night.
81,80,A-28.15,صرع مراقي,Ṣar‘ Marāqī,Hypochondriacal neurosis,A type of <em>Ṣar‘</em> (epilepsy) associated with <em>Mālankhūliyā</em>.
82,81,A-28.16,صرع نهاري,Ṣar‘ Nahārī,Diurnal epilepsy,In this type of <em>Ṣar‘</em> (epilepsy) episodic convulsions occur at daytime.
83,82,A-28.17,صرع شركي معدي,Ṣar‘ Shirkī Mi‘dī,Secondary epilepsy,<em>Ṣar‘</em> (epilepsy) associated with the abdominal diseases.
84,83,A-28.18,صرع حسي,Ṣar‘ Ḥissī,epilepsy  due to hypersensitivity of brain,<em>Ṣar‘</em> (epilepsy) due to the increased sensitivity of the brain.
85,84,A-29,سكتہ,Sakta,Apoplexy,A condition that occurs when there is a complete obstruction of the ventricles of the brain and channels of oxygen. In this condition the motor and sensory functions of the body stop but the respiratory and circulatory functions remain active. Patient remains stationary.
86,85,A-29.1,سكتہ دمويہ,Sakta Damwiyya,Sanguineous apoplexy,"Congestion of blood in the brain leads to this type of <em>Sakta</em> (apoplexy). In this type, patient’s eyes and face become red and vessels are congested."
87,86,A-29.2,سكتہ بلغميہ,Sakta Balghamiyya,Phlegmatic apoplexy,"A type of apoplexy that occurs due to <em>Sudda Balghamī</em> (phlegmatic obstruction) in the brain. In this condition patient develops palor, flaccid muscles and there is discharge from nose and mouth."
88,87,A-29.3,سكتہ سوداويہ,Sakta Sawdāwiyya,Melancholic apoplexy,A type of apoplexy that occurs due to accumulation of <em>Sawdā’</em> (black bile) in the brain.
89,88,A-29.4,سكتہ احتقانيہ,Sakta Iḥtiqāniyya,Congestive apoplexy,A type of apoplexy in which there is engorgement of blood vessels of brain but exudation does not occur.
90,89,A-29.5,سكتہ جلديہ,Sakta Jildiyya,Cutaneous apoplexy,An apparent form of <em>Sakta</em> (apoplexy) in which there is accumulation of exudates beneath the skin.
91,90,A-29.6,سكتہ رئويہ,Sakta Ri’wiyya,Pulmonary apoplexy,When <em>Sakta</em> (apoplexy) occurs due to the haemorrhage of the vessels of lungs. This causes congestion of the lungs.
92,91,A-29.7,سكتہ سديہ,Sakta Suddiyya,Thrombotic apoplexy,When <em>Sakta</em> (apoplexy) occurs due to the obstruction in the arteries of brain.
93,92,A-29.8,سكتہ ضربيہ,Sakta Ḍarbiyya,Traumatic apoplexy,When <em>Sakta</em> (apoplexy) occurs due to injury of head.
94,93,A-29.9,سكتہ مولوديہ,Sakta Mawlūdiyya,Neonatal apoplexy,When <em>Sakta</em> (apoplexy) occurs in newborns.
95,94,A-30,جمود/ شخوص/ آخذة/ مدركة/ قاطوخص,Jumūd/ Shukhūṣ/ Ākhidha/Mudrika/ Qāṭūkhaṣ,Catalepsy,A condition that occurs due to the accumulation of <em>Sawdā’</em> (black bile) in hind brain. Due to this all the sensory functions of the brain stop and patient remains stationary in his position.
96,95,A-31,استرخاء,Istirkhā’,Atony/Flaccidity,A condition where muscles of an organ or the whole body become flaccid and are not able to perform function.
97,96,A-32,فالج,Fālij,Hemiplegia,Paralytic conditions where muscles of half body (longitudinally) on either side stop functioning except the head.
98,97,A-32.1,فالج و بائي,Fālij Wabā’ī,paralysis due to putrefied air,"<em>Fālij</em> (paralysis), that spreads in the form of epidemic in a certain area because of polluted air. This occurs mostly due to the involvement of heart. Patient suffering from this disease has bad breath, red eyes and confused state. This is usually accompanied with vomiting having blackish green vomitus and sometimes it leads to sudden death within hours to three days."
99,98,A-33,تشنج,Tashannuj,Cramp/Convulsion/Spasm,A condition in which muscles contract towards their origin. It is a state of muscular spasm.
100,99,A-33.1,تشنج مادي/ تشنج رطب/ تشنج امتلائي,Tashannuj Māddī/ Tashannuj Raṭb/ Tashannuj Imtilā’ī,Repletive spasm,A type of spasm that occurs due to the involvement of <em>Mādda</em> (organic matter). It occurs mostly in children.
101,100,A-33.2,تشنج يبسي/ تشنج استفراغي,Tashannuj Yubsī/ Tashannuj Istifrāghī,Dry spasm,A type of spasm that occurs due to the predominance of <em>Yubūsat</em> (dryness) in muscles. Sometimes an intense dryness occurs by generalized evacuation of fluid from the body or by the use of some drugs which produce dryness in the body.
102,101,A-33.3,تشنج ايذائي,Tashannuj Īdhā’ī,muscular spasm due to any irritant,A type of spasm that occurs in order to remove an injurious substance from the muscles whether it is an irritant humour or coldness.
103,102,A-33.4,تشنج الاطفال,Tashannuj al-Aṭfāl,Infantile spasm,"A type of spasm mostly affecting children. It usually occurs because of high fever, constipation, insomnia and crying."
104,103,A-33.5,تشنج النفساء,Tashannuj al-Nufsā’,Post partum spasm,The spasm of muscles occurring in the body of women in the post partum period.
105,104,A-33.6,تشنج وجهي,Tashannuj Wajhī,Facial spasm,The spasm of facial muscles.
106,105,A-34,ضعف الدماغ,Ḍu‘f al-Dimāgh,Cerebrasthenia,"It is the weakness of brain. In this condition the blood supply to whole brain or a part of brain is interrupted and that part or the whole brain does not get sufficient supply of blood leading to the disturbance in different faculties of brain. This condition can also be due to impaired temperament of brain, congenital abnormality of brain, increased <em>Istifrāgh</em> (evacuation) of the body by any method."
107,106,A-35,ذكاو ۃ الحس,Dhakāwa al-Ḥiss,Hyperaesthesia of brain,A condition of increased sensitivity of brain which leads to headache and epilepsy.
108,107,A-36,صداع,Ṣudā‘,Cephalagia/Headache,Pain felt in the head which is divided into many types according to cause.
109,108,A-36.1,صداع حار,Ṣudā‘ Ḥārr,Headache due to excessive heat,Headache on exposure to hot environment. This headache does not involve <em>Mādda</em> (organic matter) or any pathological change inside the body.
110,109,A-36.2,صداع بارد,Ṣudā‘ Bārid,Headache due to excessive cold,Headache on exposure to cold environment without involvement of <em>Mādda</em> (organic matter).
111,110,A-36.3,صداع دموي,Ṣudā‘ Damawī,Congestive headache,Headache due to predominance of <em>Dam</em> (blood/sanguine).
112,111,A-36.4,صداع بلغمي,Ṣudā‘ Balghamī,Phlegmatic headache,Headache due to predominance of <em>Balgham</em> (phlegm).
113,112,A-36.5,صداع صفراوي,Ṣudā‘ Ṣafrāwī,Bilious headache,Headache due to predominance of <em>Ṣafrā’</em> (yellow bile).
114,113,A-36.6,صداع سوداوي,Ṣudā‘ Sawdāwī,Melancholic headache,Headache due to predominance of <em>Sawdā’</em> (black bile).
115,114,A-36.7,صداع ريحي داخلي,Ṣudā‘ Rīḥī Dākhilī,headache due to internal gases,Headache due to the accumulation of gases in the brain that are produced in the body.
116,115,A-36.8,صداع ريحي خارجي,Ṣudā‘ Rīḥī Khārijī,headache due to external gases,Headache due to accumulation of gases in the brain from outside the body.
117,116,A-36.9,صداع بخاري داخلي,Ṣudā‘ Bukhārī Dākhilī,headache due to internal vapours,Headache due to excessive production of gases inside the brain.
118,117,A-36.10,صداع بخاري خارجي,Ṣudā‘ Bukhārī Khārijī,headache due to external vapours,Headache due to excessive production of gases outside the brain.
119,118,A-36.11,صداع سدي,Ṣudā‘ Suddī,Embolic headache,Headache due to <em>Sudda</em> (obstruction). The obstruction can occur either in the blood vessels or meningeal vessels or brain tissues.
120,119,A-36.12,صداع ورمي,Ṣudā‘ Waramī,Inflammatory headache,Headache due to <em>Waram</em> (inflammation) of brain.
121,120,A-36.13,صداع ضرباني,Ṣudā‘ Ḍarabānī,Throbbing headache,Headache due to increased pulsation of arteries in the brain.
122,121,A-36.14,صداع ضعف دماغي,Ṣudā‘ Ḍu‘f Dimāghī,Headache due to weakness of brain,Headache due to weakness of brain.
123,122,A-36.15,صداع حسي,Ṣudā‘Ḥissī,Headache due to hyperaesthesia,Headache due to the increased sensation of brain.
124,123,A-36.16,صداع يبسي,Ṣudā‘ Yubsī,Dry headache,Headache due to the predominance of <em>Yubūsat</em> (dryness) in the brain.
125,124,A-36.17,صداع جماعي,Ṣudā‘ Jimā‘ī,Copulative headache,Headache due to excessive intercourse.
126,125,A-36.18,صداع خماري,Ṣudā‘ Khumārī,Alcoholic headache,Headache due to intake of alcohol.
127,126,A-36.19,صداع شمي,Ṣudā‘ Shammī,headache due to smell,Headache due to inhalation of pungent odour or strong smells.
128,127,A-36.20,صداع ضربي/ صداع تفرق اتصالي,Ṣudā‘ Ḍarbī/ Ṣudā‘ Tafarruq-i-Ittiṣālī,Traumatic headache,Headache due to traumatic injury of head.
129,128,A-36.21,صداع تزعزعي,Ṣudā‘ Taza‘zu‘ī,Concussional headache,Headache due to concussion of brain.
130,129,A-36.22,صداع نومي,Ṣudā‘ Nawmī,Somnial headache,Headache due to excessive sleep.
131,130,A-36.23,صداع دودي,Ṣudā‘ Dūdī,headache due to worm,Headache due to the presence of worms in the forebrain.
132,131,A-36.24,صداع شركي,Ṣudā‘ Shirkī,Referred headache,Headache due to involvement of some other disease in the body.
133,132,A-36.25,صداع شركي معدي,Ṣudā‘ Shirkī Mi‘dī,Referred headache due to the involvement of the stomach,Headache due to stomach diseases.
134,133,A-36.26,صداع شركي كبدي,Ṣudā‘ Shirkī Kabidī,Referred headache due to the involvement of the liver,Headache due to liver diseases.
135,134,A-36.27,صداع مراقي,Ṣudā‘ Marāqī,Referred Headache due to the involvement of the peritoneum,Headache due to involvement of peritoneum.
136,135,A-36.28,صداع نزلي,Ṣudā‘ Nazlī,Catarrhal headache,Headache due to catarrh.
137,136,A-36.29,صداع عرضي,Ṣudā‘ ‘Arḍī,Secondary headache,Symptomatic headache which is produced as a symptom of other diseases e.g. fever.
138,137,A-36.30,صداع بحراني,Ṣudā‘ Buḥrānī,Headache during the crisis of disease,Headache in the crisis/critical stage of diseases.
139,138,A-37,تمدد,Tamaddud,straightening of organ,A type of tension occurring at both ends of the muscles causing maximum stretching of the muscles.
140,139,A-38,كزاز,Kuzāz,Tetanus,"A type of tension occurring in the muscles of cervical and thoracic vertebrae, making them elongated."
141,140,A-38.1,كزاز قدامي,Kuzāz Quddāmī,Emprosthotonus,Tension of the anterior muscles of cervical and thoracic vertebrae.
142,141,A-38.2,كزاز خلفي,Kuzāz Khalfī,Ophisthotonus,Tension of the posterior muscles of cervical and thoracic vertebrae.
143,142,A-38.3,كزاز مطلق,Kuzāz Muṭlaq,Generalized spasm,Tension of the whole muscles of the body.
144,143,A-38.4,كزاز جنبي,Kuzāz Janbī,Pleurothotonus,Tension of muscles of one side of the body.
145,144,A-38.5,كزاز ذاتي,Kuzāz Dhātī,Cold induced muscle contraction,<em>Kuzāz</em> that occurs due to exposure of cold.
146,145,A-38.6,كزاز صبياني,Kuzāz Ṣibyānī,Tetanus neonatarum,Tetanus that occurs in new born due to the wound of umbilical cord.
